CustomerID,Region,SignupChannel,AnnualRevenue,ServicePlan,Churned,TenureMonths
1052,Midwest,Web,116614.06,Premium,0,32
1053,South,Email,43669.92,Standard,0,24
1054,West,Web,56865.25,Basic,1,14
1055,South,Web,100451.06,Premium,0,32
1056,West,Sales,100413.58,Premium,1,46
1057,West,Sales,100451.43,Premium,0,43
1058,Northeast,Referral,200581.94,Standard,0,16
1059,South,Email,102126.72,Standard,1,4
1060,Northeast,Sales,119066.97,Standard,0,37
1061,South,Web,113620.05,Premium,0,21
1062,South,Referral,104541.74,Premium,0,14
1063,Northeast,Web,75541.92,Basic,0,31
1064,Northeast,Web,107769.08,Basic,1,18
1065,South,Sales,61815.24,Standard,1,7
1066,Midwest,Referral,77895.44,Premium,1,10
1067,West,Email,70439.09,Premium,0,7
1068,Northeast,Email,87456.22,Basic,0,33
1069,West,Sales,154439.76,Standard,1,23
1070,Midwest,Sales,28982.04,Standard,0,21
1071,Midwest,Referral,105587.81,Premium,0,19
1072,Midwest,Email,36618.52,Premium,0,19
1073,Northeast,Email,70842.04,Premium,0,36
1074,Midwest,Email,117668.52,Standard,1,29
1075,Northeast,Web,86928.4,Standard,0,18
1076,Midwest,Email,52667.66,Basic,1,2
1077,West,Web,63540.89,Basic,0,1
1078,West,Referral,105387.93,Premium,0,47
1079,South,Web,63089.0,Premium,0,5
1080,West,Referral,91493.76,Premium,1,20
1081,South,Email,86367.16,Premium,0,11
1082,West,Email,65451.99,Standard,0,42
1083,Northeast,Referral,149318.32,Standard,0,2
1084,West,Sales,104017.57,Premium,1,3
1085,South,Referral,24245.72,Premium,0,23
1086,South,Sales,90593.63,Basic,1,12
1087,Midwest,Web,65146.41,Standard,0,20
1088,Northeast,Web,110573.0,Basic,0,5
1089,West,Web,61224.38,Premium,0,37
1090,Midwest,Email,81557.91,Standard,0,38
1091,West,Web,100149.62,Basic,0,30
1092,West,Sales,110972.66,Standard,0,9
1093,Midwest,Web,48991.11,Standard,0,34
1094,Midwest,Referral,74964.96,Standard,1,44
1095,Midwest,Referral,70751.64,Basic,0,35
1096,Midwest,Email,65400.12,Standard,0,22
1097,Midwest,Referral,137963.63,Standard,1,44
1098,West,Sales,,Standard,0,24
1099,Midwest,Web,47173.48,Standard,0,17
1100,Northeast,Email,112535.86,Premium,1,10
1101,South,Web,148664.69,Standard,0,30
1102,Midwest,Web,,Standard,0,46
1103,Midwest,Sales,39418.9,Premium,0,23
1104,West,Referral,70472.98,Standard,1,32
1105,Midwest,Referral,123007.33,Basic,0,17
1106,Midwest,Web,63769.92,Basic,0,17
1107,Midwest,Email,98314.58,Standard,1,14
1108,West,Referral,,Standard,1,9
1109,Midwest,Email,57192.09,Standard,0,40
1110,South,Referral,83214.24,Basic,0,2
1111,West,Email,-12238.02,Basic,0,45
1112,South,Sales,54268.37,Basic,0,25
1113,West,Email,77422.96,Standard,0,39
1114,Midwest,Sales,47566.5,Standard,0,9
1115,South,Sales,133972.34,Standard,1,22
1116,West,Email,42095.76,Standard,1,43
1117,Northeast,Sales,71798.67,Premium,0,46
1118,Midwest,Web,88922.22,Standard,1,4
1119,West,Sales,128238.2,Standard,0,26
1120,Northeast,Referral,41924.14,Standard,1,29
1121,West,Email,119894.91,Standard,0,45
1122,Northeast,Web,85306.99,Standard,0,34
1123,Midwest,Email,55554.74,Premium,1,23
1124,South,Referral,98863.1,Premium,0,37
1125,Northeast,Referral,90971.79,Basic,0,11
1126,West,Referral,66993.49,Premium,0,6
1127,Midwest,Sales,87094.06,Standard,0,18
1128,Northeast,Sales,73440.59,Basic,0,21
1129,West,Email,88405.52,Standard,0,42
1130,West,Email,104863.92,Premium,0,36
1131,West,Web,,Standard,0,41
1132,Northeast,Web,47865.54,Standard,0,38
1133,Northeast,Email,148991.0,Standard,0,34
1134,Northeast,Sales,26437.37,Basic,1,17
1135,South,Referral,80446.45,Basic,0,37
1136,Northeast,Email,102649.52,Basic,0,25
1137,Northeast,Web,93429.76,Basic,0,38
1138,Northeast,Sales,66319.01,Basic,1,12
1139,South,Email,78756.33,Basic,0,23
1140,Northeast,Email,70209.97,Standard,0,42
1141,West,Sales,67319.06,Basic,0,22
1142,Northeast,Email,110488.06,Standard,0,21
1143,West,Sales,95710.46,Premium,0,27
1144,West,Referral,64212.71,Standard,1,31
1145,West,Sales,111988.0,Standard,1,6
1146,South,Sales,94218.99,Basic,0,27
1147,South,Sales,109385.86,Basic,0,40
1148,South,Email,103888.87,Basic,1,34
1149,Northeast,Email,60130.15,Basic,0,12
1150,West,Sales,68194.57,Basic,0,45
1151,South,Email,107418.81,Basic,0,7
1152,South,Web,103311.11,Basic,0,10
1153,Northeast,Web,84372.95,Basic,0,45
1154,South,Email,88519.82,Standard,0,17
1155,Northeast,Email,123329.95,Basic,1,26
1156,Midwest,Sales,67252.86,Standard,1,21
1157,South,Referral,101412.92,Standard,0,28
1158,Midwest,Email,78934.22,Standard,0,46
1159,Northeast,Web,78469.56,Basic,1,2
1160,West,Sales,117963.31,Standard,1,43
1161,South,Email,109762.49,Standard,0,1
1162,Northeast,Web,109405.29,Basic,1,36
1163,West,Web,124164.36,Premium,1,26
1164,West,Referral,85630.12,Premium,0,29
1165,Midwest,Sales,105458.59,Basic,0,21
1166,Northeast,Sales,75692.0,Basic,0,11
1167,West,Referral,94724.99,Premium,0,40
1168,South,Referral,81095.71,Standard,0,11
1169,South,Sales,87909.88,Basic,1,36
1170,Midwest,Sales,102854.71,Basic,0,39
1171,West,Email,60453.38,Standard,0,40
1172,Northeast,Email,,Standard,0,35
1173,South,Referral,54819.48,Standard,0,34
1174,West,Email,48574.34,Standard,1,47
1175,West,Web,119743.33,Standard,0,24
1176,Midwest,Email,108749.88,Standard,0,22
1177,South,Email,103723.59,Basic,0,5
1178,South,Web,103850.37,Basic,0,33
1179,Northeast,Referral,,Standard,0,36
1180,South,Web,58082.37,Premium,0,47
1181,Northeast,Email,87274.14,Standard,0,20
1182,South,Referral,64685.15,Standard,0,19
1183,Midwest,Email,114253.59,Basic,0,35
1184,South,Web,80588.28,Standard,0,43
1185,Northeast,Web,60235.08,Standard,1,17
1186,Northeast,Email,75358.42,Basic,0,45
1187,Midwest,Sales,97387.94,Basic,0,43
1188,South,Sales,68088.26,Standard,0,34
1189,South,Web,60333.39,Basic,0,9
1190,Midwest,Web,92310.62,Standard,0,26
1191,South,Sales,92349.0,Basic,0,2
1192,South,Sales,69791.7,Standard,1,9
1193,Northeast,Email,70868.85,Basic,0,9
1194,South,Email,91961.5,Premium,0,40
1195,South,Sales,41557.47,Standard,0,17
1196,Midwest,Email,42776.09,Standard,1,1
1197,Midwest,Email,63446.67,Standard,0,25
1198,West,Referral,78596.59,Standard,0,43
1199,Northeast,Email,94327.23,Basic,0,40
1200,South,Web,129260.69,Standard,0,42
