County & State,County,State,latitude,longitude
Abbeville CountySC,Abbeville County,SC,34.1891221,-82.4752757
Acadia ParishLA,Acadia Parish,LA,30.2297347,-92.3813621
Accomack CountyVA,Accomack County,VA,37.7063323,-75.8069082
Ada CountyID,Ada County,ID,43.478767,-116.2420304
Adair CountyIA,Adair County,IA,41.2741733,-94.479976
Adair CountyKY,Adair County,KY,37.076403,-85.3136218
Adair CountyMO,Adair County,MO,40.1993655,-92.539603
Adair CountyOK,Adair County,OK,35.9127307,-94.645035
Adams CountyCO,Adams County,CO,39.8398269,-104.1930918
Adams CountyIA,Adams County,IA,41.0652066,-94.6863782
Adams CountyID,Adams County,ID,44.9882561,-116.4916091
Adams CountyIL,Adams County,IL,40.0577692,-91.135302
Adams CountyIN,Adams County,IN,40.7249237,-84.8984775
Adams CountyMS,Adams County,MS,31.5305353,-91.2891036
Adams CountyND,Adams County,ND,46.0594591,-102.5179098
Adams CountyNE,Adams County,NE,40.5596231,-98.5721016
Adams CountyOH,Adams County,OH,38.8907822,-83.5070203
Adams CountyPA,Adams County,PA,39.8522417,-77.2864879
Adams CountyWA,Adams County,WA,46.9272238,-118.51098
Adams CountyWI,Adams County,WI,44.0196955,-89.7755338
Addison CountyVT,Addison County,VT,44.1197293,-73.164338
Adjuntas MunicipioPR,Adjuntas Municipio,PR,18.163017,-66.7229326
Aguada MunicipioPR,Aguada Municipio,PR,18.3804631,-67.1893608
Aguadilla MunicipioPR,Aguadilla Municipio,PR,18.4295875,-67.1541097
Aguas Buenas MunicipioPR,Aguas Buenas Municipio,PR,18.257041,-66.1061172
Aibonito MunicipioPR,Aibonito Municipio,PR,18.1407188,-66.2598174
Aiken CountySC,Aiken County,SC,33.6005783,-81.6035062
Aitkin CountyMN,Aitkin County,MN,46.6185433,-93.4536692
Alachua CountyFL,Alachua County,FL,29.6579549,-82.3017728
Alamance CountyNC,Alamance County,NC,36.0117388,-79.4253776
Alameda CountyCA,Alameda County,CA,37.6016892,-121.7195459
Alamosa CountyCO,Alamosa County,CO,37.654039,-105.876004
Albany CountyNY,Albany County,NY,42.6518095,-73.7544707
Albany CountyWY,Albany County,WY,41.638448,-105.5943388
Albemarle CountyVA,Albemarle County,VA,38.0567092,-78.6114999
Alcona CountyMI,Alcona County,MI,44.7210061,-83.1649001
Alcorn CountyMS,Alcorn County,MS,34.8984684,-88.5951751
Aleutians East BoroughAK,Aleutians East Borough,AK,55.3601426,-161.6757637
Aleutians West Census AreaAK,Aleutians West Census Area,AK,52.3034261,-174.1810309
Alexander CountyIL,Alexander County,IL,37.1670164,-89.3606298
Alexander CountyNC,Alexander County,NC,35.8974199,-81.2078164
Alexandria CityVA,Alexandria City,VA,38.804693,-77.0435257
Alfalfa CountyOK,Alfalfa County,OK,36.7435919,-98.3964938
Alger CountyMI,Alger County,MI,46.927418,-86.5087741
Allamakee CountyIA,Allamakee County,IA,43.2430754,-91.443469
Allegan CountyMI,Allegan County,MI,42.5709865,-86.3376761
Allegany CountyMD,Allegany County,MD,39.6255251,-78.6114999
Allegany CountyNY,Allegany County,NY,42.3129816,-78.0195387
Alleghany CountyNC,Alleghany County,NC,36.4940839,-81.1196075
Alleghany CountyVA,Alleghany County,VA,37.8531975,-80.0534923
Allegheny CountyPA,Allegheny County,PA,40.4450813,-80.0087746
Allen CountyIN,Allen County,IN,41.0932622,-85.023346
Allen CountyKS,Allen County,KS,37.9435853,-95.3102505
Allen CountyKY,Allen County,KY,36.7650471,-86.2158497
Allen CountyOH,Allen County,OH,40.769946,-84.1435136
Allen ParishLA,Allen Parish,LA,30.5887484,-92.8577105
Allendale CountySC,Allendale County,SC,33.0059695,-81.3839326
Alpena CountyMI,Alpena County,MI,45.0168239,-83.1116742
Alpine CountyCA,Alpine County,CA,38.5940736,-119.8815203
Amador CountyCA,Amador County,CA,38.4092417,-120.6660044
Amelia CountyVA,Amelia County,VA,37.3212714,-77.973865
Amherst CountyVA,Amherst County,VA,37.5588285,-79.1096901
Amite CountyMS,Amite County,MS,31.1683803,-90.8294002
Añasco MunicipioPR,Añasco Municipio,PR,18.2895586,-67.1399254
Anchorage MunicipalityAK,Anchorage Municipality,AK,61.2175758,-149.8996785
Anderson CountyKS,Anderson County,KS,38.2809328,-95.3102505
Anderson CountyKY,Anderson County,KY,37.998648,-84.981754
Anderson CountySC,Anderson County,SC,34.5528328,-82.6483442
Anderson CountyTN,Anderson County,TN,36.0809574,-84.2278796
Anderson CountyTX,Anderson County,TX,31.776932,-95.6457951
Andrew CountyMO,Andrew County,MO,39.9637436,-94.8105955
Andrews CountyTX,Andrews County,TX,32.342627,-102.7135121
Androscoggin CountyME,Androscoggin County,ME,44.1912416,-70.1707037
Angelina CountyTX,Angelina County,TX,31.2704698,-94.645035
Anne Arundel CountyMD,Anne Arundel County,MD,38.9530109,-76.5488232
Anoka CountyMN,Anoka County,MN,45.3292832,-93.2197005
Anson CountyNC,Anson County,NC,34.9054732,-80.1875065
Antelope CountyNE,Antelope County,NE,42.1902446,-98.0465185
Antrim CountyMI,Antrim County,MI,44.9730441,-85.1769095
Apache CountyAZ,Apache County,AZ,35.5313224,-109.3783206
Appanoose CountyIA,Appanoose County,IA,40.6806102,-92.8577105
Appling CountyGA,Appling County,GA,31.712238,-82.2583297
Appomattox CountyVA,Appomattox County,VA,37.402489,-78.792953
Aransas CountyTX,Aransas County,TX,28.0761262,-96.9638624
Arapahoe CountyCO,Arapahoe County,CO,39.62031,-104.332644
Archer CountyTX,Archer County,TX,33.5761511,-98.7481167
Archuleta CountyCO,Archuleta County,CO,37.1604318,-107.0067031
Arecibo MunicipioPR,Arecibo Municipio,PR,18.4566494,-66.7429353
Arenac CountyMI,Arenac County,MI,43.9973355,-83.6773928
Arkansas CountyAR,Arkansas County,AR,34.2354138,-91.2891036
Arlington CountyVA,Arlington County,VA,38.8816208,-77.0909809
Armstrong CountyPA,Armstrong County,PA,40.8790518,-79.4703885
Armstrong CountyTX,Armstrong County,TX,34.937162,-101.4339148
Aroostook CountyME,Aroostook County,ME,46.819941,-68.4766064
Arroyo MunicipioPR,Arroyo Municipio,PR,17.9691358,-66.0607318
Arthur CountyNE,Arthur County,NE,41.5680276,-101.6157773
Ascension ParishLA,Ascension Parish,LA,30.2017295,-90.9438468
Ashe CountyNC,Ashe County,NC,36.4339674,-81.4718387
Ashland CountyOH,Ashland County,OH,40.9435588,-82.3017728
Ashland CountyWI,Ashland County,WI,46.9794969,-90.4824892
Ashley CountyAR,Ashley County,AR,33.1565939,-91.7538817
Ashtabula CountyOH,Ashtabula County,OH,41.9396982,-80.7214417
Asotin CountyWA,Asotin County,WA,46.1460123,-117.2085208
Assumption ParishLA,Assumption Parish,LA,29.9232544,-91.09694
Atascosa CountyTX,Atascosa County,TX,28.8661281,-98.5721016
Atchison CountyKS,Atchison County,KS,39.5701137,-95.3520876
Atchison CountyMO,Atchison County,MO,40.423896,-95.4777811
Athens CountyOH,Athens County,OH,39.3030308,-82.12784
Atkinson CountyGA,Atkinson County,GA,31.2932161,-82.8640623
Atlantic CountyNJ,Atlantic County,NJ,39.5333379,-74.6868815
Atoka CountyOK,Atoka County,OK,34.4509901,-95.9832577
Attala CountyMS,Attala County,MS,33.1683267,-89.6251646
Audrain CountyMO,Audrain County,MO,39.221953,-91.9099238
Audubon CountyIA,Audubon County,IA,41.7326826,-94.976654
Auglaize CountyOH,Auglaize County,OH,40.5781556,-84.3542049
Augusta CountyVA,Augusta County,VA,38.2004562,-79.2451149
Aurora CountySD,Aurora County,SD,44.2841347,-96.685606
Austin CountyTX,Austin County,TX,29.8711291,-96.2800864
Autauga CountyAL,Autauga County,AL,32.5791817,-86.4996546
Avery CountyNC,Avery County,NC,36.1198414,-81.909826
Avoyelles ParishLA,Avoyelles Parish,LA,30.9711824,-92.0665197
Baca CountyCO,Baca County,CO,37.394731,-102.5298028
Bacon CountyGA,Bacon County,GA,31.5412085,-82.4319405
Bailey CountyTX,Bailey County,TX,34.0913057,-102.8975098
Baker CountyFL,Baker County,FL,30.3931168,-82.3017728
Baker CountyGA,Baker County,GA,31.2816037,-84.4802606
Baker CountyOR,Baker County,OR,44.7652304,-117.67692
Baldwin CountyAL,Baldwin County,AL,30.6010744,-87.7763333
Baldwin CountyGA,Baldwin County,GA,33.0338083,-83.2934086
Ballard CountyKY,Ballard County,KY,37.0359869,-89.0179332
Baltimore CityMD,Baltimore City,MD,39.2905023,-76.6104072
Baltimore CountyMD,Baltimore County,MD,39.4647665,-76.7336521
Bamberg CountySC,Bamberg County,SC,33.2074402,-81.0754657
Bandera CountyTX,Bandera County,TX,29.7404135,-99.2785583
Banks CountyGA,Banks County,GA,34.378542,-83.4643551
Banner CountyNE,Banner County,NE,41.500766,-103.6362715
Bannock CountyID,Bannock County,ID,42.5836362,-112.1430215
Baraga CountyMI,Baraga County,MI,46.7352761,-88.3010401
Barber CountyKS,Barber County,KS,37.2299788,-98.7481167
Barbour CountyAL,Barbour County,AL,31.8172896,-85.354965
Barbour CountyWV,Barbour County,WV,39.1398692,-80.0087746
Barceloneta MunicipioPR,Barceloneta Municipio,PR,18.4526402,-66.5396674
Barnes CountyND,Barnes County,ND,46.926176,-98.1222338
Barnstable CountyMA,Barnstable County,MA,41.8111143,-70.1455805
Barnwell CountySC,Barnwell County,SC,33.279925,-81.4718387
Barranquitas MunicipioPR,Barranquitas Municipio,PR,18.1865733,-66.3062327
Barren CountyKY,Barren County,KY,36.9676836,-85.8486236
Barron CountyWI,Barron County,WI,45.3607574,-91.776948
Barrow CountyGA,Barrow County,GA,34.0142667,-83.6986568
Barry CountyMI,Barry County,MI,42.5354321,-85.354965
Barry CountyMO,Barry County,MO,36.6345264,-93.8248241
Bartholomew CountyIN,Bartholomew County,IN,39.206801,-85.8895551
Barton CountyKS,Barton County,KS,38.5000699,-98.6600586
Barton CountyMO,Barton County,MO,37.4748791,-94.315422
Bartow CountyGA,Bartow County,GA,34.2660473,-84.8150781
Bastrop CountyTX,Bastrop County,TX,30.0458708,-97.3516558
Bates CountyMO,Bates County,MO,38.3216754,-94.315422
Bath CountyKY,Bath County,KY,38.1068164,-83.7199136
Bath CountyVA,Bath County,VA,38.111733,-79.6502105
Baxter CountyAR,Baxter County,AR,36.3261815,-92.3813621
Bay CountyFL,Bay County,FL,30.1805306,-85.684578
Bay CountyMI,Bay County,MI,43.7109732,-84.0167423
BayamÃ³nPR,BayamÃ³n,PR,18.383733,-66.1713106
Bayamón MunicipioPR,Bayamón Municipio,PR,18.383733,-66.1713106
Bayfield CountyWI,Bayfield County,WI,46.6650481,-91.1222007
Baylor CountyTX,Baylor County,TX,33.5373926,-99.2785583
Beadle CountySD,Beadle County,SD,44.4797351,-98.2212979
Bear Lake CountyID,Bear Lake County,ID,42.228222,-111.2845025
Beaufort CountyNC,Beaufort County,NC,35.4613504,-76.9182097
Beaufort CountySC,Beaufort County,SC,32.2860396,-80.7214417
Beauregard ParishLA,Beauregard Parish,LA,30.7611484,-93.3388917
Beaver CountyOK,Beaver County,OK,36.7440186,-100.5296115
Beaver CountyPA,Beaver County,PA,40.6367812,-80.365865
Beaver CountyUT,Beaver County,UT,38.3266376,-113.287085
Beaverhead CountyMT,Beaverhead County,MT,45.2135118,-113.1093046
Becker CountyMN,Becker County,MN,46.9164628,-95.7036557
Beckham CountyOK,Beckham County,OK,35.2687266,-99.634135
Bedford CountyPA,Bedford County,PA,39.986955,-78.5660852
Bedford CountyTN,Bedford County,TN,35.4702472,-86.4592091
Bedford CountyVA,Bedford County,VA,37.2538794,-79.4703885
Bee CountyTX,Bee County,TX,28.3624206,-97.6982272
Belknap CountyNH,Belknap County,NH,43.5024246,-71.4073938
Bell CountyKY,Bell County,KY,36.741122,-83.634843
Bell CountyTX,Bell County,TX,31.134411,-97.5247243
Belmont CountyOH,Belmont County,OH,40.0325848,-80.8986502
Beltrami CountyMN,Beltrami County,MN,48.1418531,-94.7390874
Ben Hill CountyGA,Ben Hill County,GA,31.7664035,-83.2077645
Benewah CountyID,Benewah County,ID,47.2437836,-116.6499425
Bennett CountySD,Bennett County,SD,43.1223577,-101.6157773
Bennington CountyVT,Bennington County,VT,43.0278745,-73.1349605
Benson CountyND,Benson County,ND,48.088634,-99.4648442
Bent CountyCO,Bent County,CO,38.0036339,-103.0817903
Benton CountyAR,Benton County,AR,36.2661518,-94.479976
Benton CountyIA,Benton County,IA,42.1387249,-92.0665197
Benton CountyIN,Benton County,IN,40.644786,-87.3413599
Benton CountyMN,Benton County,MN,45.7211058,-93.9732855
Benton CountyMO,Benton County,MO,38.3534598,-93.3388917
Benton CountyMS,Benton County,MS,34.7712669,-89.1705998
Benton CountyOR,Benton County,OR,44.6281686,-123.3873877
Benton CountyTN,Benton County,TN,36.1170244,-88.050979
Benton CountyWA,Benton County,WA,46.3166362,-119.5021582
Benzie CountyMI,Benzie County,MI,44.678277,-86.2970998
Bergen CountyNJ,Bergen County,NJ,40.9262762,-74.07701
Berkeley CountySC,Berkeley County,SC,33.1260618,-80.0087746
Berkeley CountyWV,Berkeley County,WV,39.4885604,-78.0651931
Berks CountyPA,Berks County,PA,40.3451566,-75.9927652
Berkshire CountyMA,Berkshire County,MA,42.311782,-73.1821623
Bernalillo CountyNM,Bernalillo County,NM,35.0177854,-106.6291304
Berrien CountyGA,Berrien County,GA,31.3118535,-83.2077645
Berrien CountyMI,Berrien County,MI,42.0320742,-86.7416374
Bertie CountyNC,Bertie County,NC,36.0245185,-76.964306
Bethel Census AreaAK,Bethel Census Area,AK,61.093446,-160.8640774
Bexar CountyTX,Bexar County,TX,29.4200763,-98.5721016
Bibb CountyAL,Bibb County,AL,32.9562798,-87.1422895
Bibb CountyGA,Bibb County,GA,32.7865735,-83.7199136
Bienville ParishLA,Bienville Parish,LA,32.4107403,-93.0175712
Big Horn CountyMT,Big Horn County,MT,45.3496574,-107.2715769
Big Horn CountyWY,Big Horn County,WY,44.6036387,-108.0941121
Big Stone CountyMN,Big Stone County,MN,45.4932045,-96.4724
Billings CountyND,Billings County,ND,47.0560305,-103.3906121
Bingham CountyID,Bingham County,ID,43.2112303,-112.3624146
Black Hawk CountyIA,Black Hawk County,IA,42.447804,-92.3813621
Blackford CountyIN,Blackford County,IN,40.4992784,-85.3136218
Bladen CountyNC,Bladen County,NC,34.5882404,-78.5660852
Blaine CountyID,Blaine County,ID,43.4743428,-113.9664446
Blaine CountyMT,Blaine County,MT,48.6065395,-108.9462246
Blaine CountyNE,Blaine County,NE,41.8795565,-99.9912254
Blaine CountyOK,Blaine County,OK,35.8825489,-98.3964938
Blair CountyPA,Blair County,PA,40.4531318,-78.3842227
Blanco CountyTX,Blanco County,TX,30.3500511,-98.3964938
Bland CountyVA,Bland County,VA,37.0924986,-81.1196075
Bleckley CountyGA,Bleckley County,GA,32.4087854,-83.3789389
Bledsoe CountyTN,Bledsoe County,TN,35.6028856,-85.2308414
Blount CountyAL,Blount County,AL,34.0145152,-86.4996546
Blount CountyTN,Blount County,TN,35.6710541,-83.8473015
Blue Earth CountyMN,Blue Earth County,MN,43.9505132,-93.9878427
Boise CountyID,Boise County,ID,43.9604787,-115.8563106
Bolivar CountyMS,Bolivar County,MS,33.8829962,-90.8294002
Bollinger CountyMO,Bollinger County,MO,37.2115595,-90.0746767
Bon Homme CountySD,Bon Homme County,SD,42.9814835,-97.87216
Bond CountyIL,Bond County,IL,38.902985,-89.4742177
Bonner CountyID,Bonner County,ID,48.2751783,-116.5931483
Bonneville CountyID,Bonneville County,ID,43.4508683,-111.5455289
Boone CountyAR,Boone County,AR,36.3118662,-93.0175712
Boone CountyIA,Boone County,IA,42.0881747,-93.9878427
Boone CountyIL,Boone County,IL,42.3484976,-88.8263006
Boone CountyIN,Boone County,IN,40.0106163,-86.4996546
Boone CountyKY,Boone County,KY,38.9940572,-84.7315563
Boone CountyMO,Boone County,MO,39.0468547,-92.3813621
Boone CountyNE,Boone County,NE,41.7172326,-98.0465185
Boone CountyWV,Boone County,WV,37.9838605,-81.734942
Borden CountyTX,Borden County,TX,32.8233108,-101.4339148
Bosque CountyTX,Bosque County,TX,31.8507607,-97.6982272
Bossier ParishLA,Bossier Parish,LA,32.7551322,-93.6623239
Botetourt CountyVA,Botetourt County,VA,37.5774613,-79.7848422
Bottineau CountyND,Bottineau County,ND,48.7820733,-100.7486336
Boulder CountyCO,Boulder County,CO,40.1512114,-105.5005483
Boundary CountyID,Boundary County,ID,48.7987617,-116.5627065
Bourbon CountyKS,Bourbon County,KS,37.7957092,-94.8105955
Bourbon CountyKY,Bourbon County,KY,38.2170752,-84.2278796
Bowie CountyTX,Bowie County,TX,33.4473287,-94.479976
Bowman CountyND,Bowman County,ND,46.0945462,-103.556038
Box Butte CountyNE,Box Butte County,NE,42.1911471,-103.0817903
Box Elder CountyUT,Box Elder County,UT,41.5380087,-113.1918021
Boyd CountyKY,Boyd County,KY,38.3833265,-82.6915429
Boyd CountyNE,Boyd County,NE,42.8823716,-98.704075
Boyle CountyKY,Boyle County,KY,37.6526034,-84.8150781
Bracken CountyKY,Bracken County,KY,38.7117016,-84.059029
Bradford CountyFL,Bradford County,FL,29.9723818,-82.1713632
Bradford CountyPA,Bradford County,PA,41.8362502,-76.5488232
Bradley CountyAR,Bradley County,AR,33.5081368,-92.2236667
Bradley CountyTN,Bradley County,TN,35.1937778,-84.8567932
Branch CountyMI,Branch County,MI,41.8913835,-85.023346
Brantley CountyGA,Brantley County,GA,31.1510963,-81.9971108
Braxton CountyWV,Braxton County,WV,38.7023371,-80.7214417
Brazoria CountyTX,Brazoria County,TX,29.2131857,-95.4777811
Brazos CountyTX,Brazos County,TX,30.6504141,-96.3226072
Breathitt CountyKY,Breathitt County,KY,37.5359616,-83.336188
Breckinridge CountyKY,Breckinridge County,KY,37.7982002,-86.4592091
Bremer CountyIA,Bremer County,IA,42.761082,-92.3813621
Brevard CountyFL,Brevard County,FL,28.263933,-80.7214417
Brewster CountyTX,Brewster County,TX,29.6629938,-103.3587288
Briscoe CountyTX,Briscoe County,TX,34.526178,-101.1617356
Bristol Bay BoroughAK,Bristol Bay Borough,AK,58.7578504,-156.7792687
Bristol cityVA,Bristol city,VA,36.6159085,-82.1659243
Bristol CountyMA,Bristol County,MA,41.7938406,-71.1448516
Bristol CountyRI,Bristol County,RI,41.7257893,-71.3111773
Broadwater CountyMT,Broadwater County,MT,46.2693726,-111.4519716
Bronx CountyNY,Bronx County,NY,40.8447819,-73.8648268
Brooke CountyWV,Brooke County,WV,40.2697757,-80.5660657
Brookings CountySD,Brookings County,SD,44.4211592,-96.8350999
Brooks CountyGA,Brooks County,GA,30.8730159,-83.5496566
Brooks CountyTX,Brooks County,TX,27.0273057,-98.2212979
Broome CountyNY,Broome County,NY,42.1791865,-75.8533954
Broomfield CountyCO,Broomfield County,CO,39.9205411,-105.0866504
Broward CountyFL,Broward County,FL,26.190096,-80.365865
Brown CountyIL,Brown County,IL,39.9379573,-90.7152749
Brown CountyIN,Brown County,IN,39.1749729,-86.1751759
Brown CountyKS,Brown County,KS,39.770047,-95.4777811
Brown CountyMN,Brown County,MN,44.2294379,-94.645035
Brown CountyNE,Brown County,NE,42.5052914,-99.9912254
Brown CountyOH,Brown County,OH,38.9092089,-83.8473015
Brown CountySD,Brown County,SD,45.7581522,-98.2542652
Brown CountyTX,Brown County,TX,31.7705105,-98.9245343
Brown CountyWI,Brown County,WI,44.4561674,-87.9334803
Brule CountySD,Brule County,SD,43.6572515,-99.1013498
Brunswick CountyNC,Brunswick County,NC,34.0275398,-78.2020387
Brunswick CountyVA,Brunswick County,VA,36.7570589,-77.8367282
Bryan CountyGA,Bryan County,GA,32.0236584,-81.4718387
Bryan CountyOK,Bryan County,OK,33.902127,-96.3226072
Buchanan CountyIA,Buchanan County,IA,42.4566006,-91.9099238
Buchanan CountyMO,Buchanan County,MO,39.6349791,-94.8105955
Buchanan CountyVA,Buchanan County,VA,37.2403134,-81.9971108
Buckingham CountyVA,Buckingham County,VA,37.507008,-78.5660852
Bucks CountyPA,Bucks County,PA,40.4107964,-75.2479061
Buena Vista cityVA,Buena Vista city,VA,37.7343004,-79.3539238
Buena Vista CountyIA,Buena Vista County,IA,42.6705452,-95.1432068
Buffalo CountyNE,Buffalo County,NE,40.8410218,-99.1013498
Buffalo CountySD,Buffalo County,SD,44.0976225,-99.2785583
Buffalo CountyWI,Buffalo County,WI,44.3102354,-91.7538817
Bullitt CountyKY,Bullitt County,KY,37.9842107,-85.684578
Bulloch CountyGA,Bulloch County,GA,32.3595678,-81.7787021
Bullock CountyAL,Bullock County,AL,32.0573536,-85.7256372
Buncombe CountyNC,Buncombe County,NC,35.5931377,-82.4752757
Bureau CountyIL,Bureau County,IL,41.3599156,-89.4742177
Burke CountyGA,Burke County,GA,33.088805,-81.9534815
Burke CountyNC,Burke County,NC,35.7616931,-81.734942
Burke CountyND,Burke County,ND,48.7704377,-102.4633691
Burleigh CountyND,Burleigh County,ND,47.0448552,-100.5049676
Burleson CountyTX,Burleson County,TX,30.4500257,-96.663812
Burlington CountyNJ,Burlington County,NJ,39.8558488,-74.6868815
Burnet CountyTX,Burnet County,TX,30.7270349,-98.2212979
Burnett CountyWI,Burnett County,WI,45.8051186,-92.2888131
Burt CountyNE,Burt County,NE,41.8252059,-96.3226072
Butler CountyAL,Butler County,AL,31.6760284,-86.6611083
Butler CountyIA,Butler County,IA,42.7502186,-92.8577105
Butler CountyKS,Butler County,KS,37.7878531,-96.8887202
Butler CountyKY,Butler County,KY,37.2086395,-86.7013894
Butler CountyMO,Butler County,MO,36.6951341,-90.3748354
Butler CountyNE,Butler County,NE,41.1375727,-97.179026
Butler CountyOH,Butler County,OH,39.440463,-84.5222189
Butler CountyPA,Butler County,PA,40.9115243,-79.8296743
Butte CountyCA,Butte County,CA,39.6474406,-121.634452
Butte CountyID,Butte County,ID,43.6448198,-113.1841378
Butte CountySD,Butte County,SD,44.9251992,-103.7008932
Butts CountyGA,Butts County,GA,33.2691443,-83.9532571
Cabarrus CountyNC,Cabarrus County,NC,35.4168123,-80.5882803
Cabell CountyWV,Cabell County,WV,38.4391927,-82.2583297
Cabo Rojo MunicipioPR,Cabo Rojo Municipio,PR,18.0891675,-67.1561379
Cache CountyUT,Cache County,UT,41.7560026,-111.7614661
Caddo CountyOK,Caddo County,OK,35.10556,-98.3088441
Caddo ParishLA,Caddo Parish,LA,32.6136798,-93.8655303
Caguas MunicipioPR,Caguas Municipio,PR,18.2357657,-66.0328548
Calaveras CountyCA,Calaveras County,CA,38.2310851,-120.6199895
Calcasieu ParishLA,Calcasieu Parish,LA,30.2089286,-93.3388917
Caldwell CountyKY,Caldwell County,KY,37.1501019,-87.8942451
Caldwell CountyMO,Caldwell County,MO,39.6660775,-93.9878427
Caldwell CountyNC,Caldwell County,NC,35.9227448,-81.5596427
Caldwell CountyTX,Caldwell County,TX,29.7986218,-97.654811
Caldwell ParishLA,Caldwell Parish,LA,32.0669717,-92.0665197
Caledonia CountyVT,Caledonia County,VT,44.55051,-72.0481907
Calhoun CountyAL,Calhoun County,AL,33.7701576,-85.80766
Calhoun CountyAR,Calhoun County,AR,33.5020885,-92.539603
Calhoun CountyFL,Calhoun County,FL,30.3475302,-85.1894045
Calhoun CountyGA,Calhoun County,GA,31.5621777,-84.6479124
Calhoun CountyIA,Calhoun County,IA,42.3785903,-94.645035
Calhoun CountyIL,Calhoun County,IL,39.1733216,-90.658333
Calhoun CountyMI,Calhoun County,MI,42.2073905,-85.023346
Calhoun CountyMS,Calhoun County,MS,33.8839218,-89.3226954
Calhoun CountySC,Calhoun County,SC,33.6738638,-80.7657804
Calhoun CountyTX,Calhoun County,TX,28.4169365,-96.663812
Calhoun CountyWV,Calhoun County,WV,38.857973,-81.1196075
Callahan CountyTX,Callahan County,TX,32.2728116,-99.456155
Callaway CountyMO,Callaway County,MO,38.8886044,-91.9099238
Calloway CountyKY,Calloway County,KY,36.6402766,-88.285042
Calumet CountyWI,Calumet County,WI,44.1586082,-88.2461183
Calvert CountyMD,Calvert County,MD,38.4949503,-76.5025742
Camas CountyID,Camas County,ID,43.5093688,-114.8243665
Cambria CountyPA,Cambria County,PA,40.4894231,-78.7476208
Camden CountyGA,Camden County,GA,30.898276,-81.6035062
Camden CountyMO,Camden County,MO,38.0322944,-92.6983868
Camden CountyNC,Camden County,NC,36.2600564,-76.0391909
Camden CountyNJ,Camden County,NJ,39.8592439,-75.0143824
Cameron CountyPA,Cameron County,PA,41.4261564,-78.1564432
Cameron CountyTX,Cameron County,TX,26.1284971,-97.5247243
Cameron ParishLA,Cameron Parish,LA,29.8434436,-93.1779659
Camp CountyTX,Camp County,TX,32.9567043,-94.9974461
Campbell CountyKY,Campbell County,KY,38.8951891,-84.3962535
Campbell CountySD,Campbell County,SD,45.84151,-100.0676709
Campbell CountyTN,Campbell County,TN,36.3817326,-84.1857115
Campbell CountyVA,Campbell County,VA,37.221014,-79.1096901
Campbell CountyWY,Campbell County,WY,44.3956107,-105.4489183
Camuy MunicipioPR,Camuy Municipio,PR,18.484294,-66.8479448
Canadian CountyOK,Canadian County,OK,35.5593784,-98.0465185
Candler CountyGA,Candler County,GA,32.4241804,-82.0842901
Cannon CountyTN,Cannon County,TN,35.8070317,-86.0529604
Canóvanas MunicipioPR,Canóvanas Municipio,PR,18.3790194,-65.9019379
Canyon CountyID,Canyon County,ID,43.6779581,-116.6865435
Cape Girardeau CountyMO,Cape Girardeau County,MO,37.3821319,-89.6251646
Cape May CountyNJ,Cape May County,NJ,39.105884,-74.8273184
Carbon CountyMT,Carbon County,MT,45.2820195,-109.100255
Carbon CountyPA,Carbon County,PA,40.901975,-75.667356
Carbon CountyUT,Carbon County,UT,39.6479807,-110.6168921
Carbon CountyWY,Carbon County,WY,41.6032207,-106.912251
Caribou CountyID,Caribou County,ID,42.7538684,-111.6660725
Carlisle CountyKY,Carlisle County,KY,36.8206685,-88.9796776
Carlton CountyMN,Carlton County,MN,46.5619247,-92.6847226
Carolina MunicipioPR,Carolina Municipio,PR,18.3736316,-65.9630925
CarolinaPR,Carolina,PR,18.3736316,-65.9630925
Caroline CountyMD,Caroline County,MD,38.9105018,-75.8533954
Caroline CountyVA,Caroline County,VA,38.0445557,-77.2864879
Carroll CountyAR,Carroll County,AR,36.2987495,-93.5003454
Carroll CountyGA,Carroll County,GA,33.5642239,-85.0649071
Carroll CountyIA,Carroll County,IA,42.0566912,-94.8105955
Carroll CountyIL,Carroll County,IL,42.0385843,-89.9626799
Carroll CountyIN,Carroll County,IN,40.542415,-86.5400674
Carroll CountyKY,Carroll County,KY,38.6748355,-85.0649071
Carroll CountyMD,Carroll County,MD,39.5423418,-77.0564464
Carroll CountyMO,Carroll County,MO,39.5166572,-93.5003454
Carroll CountyMS,Carroll County,MS,33.5279848,-89.9253233
Carroll CountyNH,Carroll County,NH,43.8128209,-71.2506067
Carroll CountyOH,Carroll County,OH,40.5328331,-81.0754657
Carroll CountyTN,Carroll County,TN,35.9917193,-88.4016041
Carroll CountyVA,Carroll County,VA,36.6778699,-80.7214417
Carson CityNV,Carson City,NV,39.1637984,-119.7674034
Carson CountyTX,Carson County,TX,35.4578717,-101.4339148
Carter CountyKY,Carter County,KY,38.3204714,-83.0361376
Carter CountyMO,Carter County,MO,36.9073725,-90.9438468
Carter CountyMT,Carter County,MT,45.4522431,-104.3707837
Carter CountyOK,Carter County,OK,34.1996254,-97.3516558
Carter CountyTN,Carter County,TN,36.2638604,-82.12784
Carteret CountyNC,Carteret County,NC,34.9019263,-76.5488232
Carver CountyMN,Carver County,MN,44.825431,-93.7841503
Cascade CountyMT,Cascade County,MT,47.4688355,-111.5453228
Casey CountyKY,Casey County,KY,37.3157449,-84.8984775
Cass CountyIA,Cass County,IA,41.2538068,-94.976654
