County & State,County,State,latitude,longitude,optimal_customer_rate,anticipated_win_rate,target_margin,anticipated_provider_rate
Allegan CountyMI,Allegan County,MI,42.5709865,-86.3376761,950,0.50,0.95,42
Allegany CountyMD,Allegany County,MD,39.6255251,-78.6114999,950,0.50,0.95,42
Allegany CountyNY,Allegany County,NY,42.3129816,-78.0195387,950,0.50,0.95,42
Alleghany CountyNC,Alleghany County,NC,36.4940839,-81.1196075,950,0.50,0.95,42
Alleghany CountyVA,Alleghany County,VA,37.8531975,-80.0534923,950,0.50,0.95,42
Allegheny CountyPA,Allegheny County,PA,40.4450813,-80.0087746,950,0.50,0.95,42
Allen CountyIN,Allen County,IN,41.0932622,-85.023346,950,0.50,0.95,42
Allen CountyKS,Allen County,KS,37.9435853,-95.3102505,950,0.50,0.95,42
Allen CountyKY,Allen County,KY,36.7650471,-86.2158497,950,0.50,0.95,42
Allen CountyOH,Allen County,OH,40.769946,-84.1435136,950,0.50,0.95,42
Allen ParishLA,Allen Parish,LA,30.5887484,-92.8577105,950,0.50,0.95,42
Allendale CountySC,Allendale County,SC,33.0059695,-81.3839326,950,0.50,0.95,42
Alpena CountyMI,Alpena County,MI,45.0168239,-83.1116742,950,0.50,0.95,42
Alpine CountyCA,Alpine County,CA,38.5940736,-119.8815203,950,0.50,0.95,42
Amador CountyCA,Amador County,CA,38.4092417,-120.6660044,950,0.50,0.95,42
Amelia CountyVA,Amelia County,VA,37.3212714,-77.973865,950,0.50,0.95,42
Amherst CountyVA,Amherst County,VA,37.5588285,-79.1096901,950,0.50,0.95,42
Amite CountyMS,Amite County,MS,31.1683803,-90.8294002,950,0.50,0.95,42
Añasco MunicipioPR,Añasco Municipio,PR,18.2895586,-67.1399254,950,0.50,0.95,42
Anchorage MunicipalityAK,Anchorage Municipality,AK,61.2175758,-149.8996785,950,0.50,0.95,42
Anderson CountyKS,Anderson County,KS,38.2809328,-95.3102505,950,0.50,0.95,42
Anderson CountyKY,Anderson County,KY,37.998648,-84.981754,950,0.50,0.95,42
Anderson CountySC,Anderson County,SC,34.5528328,-82.6483442,950,0.50,0.95,42
Anderson CountyTN,Anderson County,TN,36.0809574,-84.2278796,950,0.50,0.95,42
Anderson CountyTX,Anderson County,TX,31.776932,-95.6457951,950,0.50,0.95,42
Andrew CountyMO,Andrew County,MO,39.9637436,-94.8105955,950,0.50,0.95,42
Andrews CountyTX,Andrews County,TX,32.342627,-102.7135121,950,0.50,0.95,42
Androscoggin CountyME,Androscoggin County,ME,44.1912416,-70.1707037,950,0.50,0.95,42
Angelina CountyTX,Angelina County,TX,31.2704698,-94.645035,950,0.50,0.95,42
Anne Arundel CountyMD,Anne Arundel County,MD,38.9530109,-76.5488232,950,0.50,0.95,42
Anoka CountyMN,Anoka County,MN,45.3292832,-93.2197005,950,0.50,0.95,42
Anson CountyNC,Anson County,NC,34.9054732,-80.1875065,950,0.50,0.95,42
Antelope CountyNE,Antelope County,NE,42.1902446,-98.0465185,950,0.50,0.95,42
Antrim CountyMI,Antrim County,MI,44.9730441,-85.1769095,950,0.50,0.95,42
Apache CountyAZ,Apache County,AZ,35.5313224,-109.3783206,950,0.50,0.95,42
Appanoose CountyIA,Appanoose County,IA,40.6806102,-92.8577105,950,0.50,0.95,42
Appling CountyGA,Appling County,GA,31.712238,-82.2583297,950,0.50,0.95,42
Appomattox CountyVA,Appomattox County,VA,37.402489,-78.792953,950,0.50,0.95,42
Aransas CountyTX,Aransas County,TX,28.0761262,-96.9638624,950,0.50,0.95,42
Arapahoe CountyCO,Arapahoe County,CO,39.62031,-104.332644,950,0.50,0.95,42
Archer CountyTX,Archer County,TX,33.5761511,-98.7481167,950,0.50,0.95,42
Archuleta CountyCO,Archuleta County,CO,37.1604318,-107.0067031,950,0.50,0.95,42
Arecibo MunicipioPR,Arecibo Municipio,PR,18.4566494,-66.7429353,950,0.50,0.95,42
Arenac CountyMI,Arenac County,MI,43.9973355,-83.6773928,950,0.50,0.95,42
Arkansas CountyAR,Arkansas County,AR,34.2354138,-91.2891036,950,0.50,0.95,42
Arlington CountyVA,Arlington County,VA,38.8816208,-77.0909809,950,0.50,0.95,42
Armstrong CountyPA,Armstrong County,PA,40.8790518,-79.4703885,950,0.50,0.95,42
Armstrong CountyTX,Armstrong County,TX,34.937162,-101.4339148,950,0.50,0.95,42
Aroostook CountyME,Aroostook County,ME,46.819941,-68.4766064,950,0.50,0.95,42
Arroyo MunicipioPR,Arroyo Municipio,PR,17.9691358,-66.0607318,950,0.50,0.95,42
Arthur CountyNE,Arthur County,NE,41.5680276,-101.6157773,950,0.50,0.95,42
Ascension ParishLA,Ascension Parish,LA,30.2017295,-90.9438468,950,0.50,0.95,42
Ashe CountyNC,Ashe County,NC,36.4339674,-81.4718387,950,0.50,0.95,42
Ashland CountyOH,Ashland County,OH,40.9435588,-82.3017728,950,0.50,0.95,42
Ashland CountyWI,Ashland County,WI,46.9794969,-90.4824892,950,0.50,0.95,42
Ashley CountyAR,Ashley County,AR,33.1565939,-91.7538817,950,0.50,0.95,42
Ashtabula CountyOH,Ashtabula County,OH,41.9396982,-80.7214417,950,0.50,0.95,42
Asotin CountyWA,Asotin County,WA,46.1460123,-117.2085208,950,0.50,0.95,42
Assumption ParishLA,Assumption Parish,LA,29.9232544,-91.09694,950,0.50,0.95,42
Atascosa CountyTX,Atascosa County,TX,28.8661281,-98.5721016,950,0.50,0.95,42
Atchison CountyKS,Atchison County,KS,39.5701137,-95.3520876,950,0.50,0.95,42
Atchison CountyMO,Atchison County,MO,40.423896,-95.4777811,950,0.50,0.95,42
Athens CountyOH,Athens County,OH,39.3030308,-82.12784,950,0.50,0.95,42
Atkinson CountyGA,Atkinson County,GA,31.2932161,-82.8640623,950,0.50,0.95,42
Atlantic CountyNJ,Atlantic County,NJ,39.5333379,-74.6868815,950,0.50,0.95,42
Atoka CountyOK,Atoka County,OK,34.4509901,-95.9832577,950,0.50,0.95,42
Attala CountyMS,Attala County,MS,33.1683267,-89.6251646,950,0.50,0.95,42
Audrain CountyMO,Audrain County,MO,39.221953,-91.9099238,950,0.50,0.95,42
Audubon CountyIA,Audubon County,IA,41.7326826,-94.976654,950,0.50,0.95,42
Auglaize CountyOH,Auglaize County,OH,40.5781556,-84.3542049,950,0.50,0.95,42
Augusta CountyVA,Augusta County,VA,38.2004562,-79.2451149,950,0.50,0.95,42
Aurora CountySD,Aurora County,SD,44.2841347,-96.685606,950,0.50,0.95,42
Austin CountyTX,Austin County,TX,29.8711291,-96.2800864,950,0.50,0.95,42
Autauga CountyAL,Autauga County,AL,32.5791817,-86.4996546,950,0.50,0.95,42
Avery CountyNC,Avery County,NC,36.1198414,-81.909826,950,0.50,0.95,42
Avoyelles ParishLA,Avoyelles Parish,LA,30.9711824,-92.0665197,950,0.50,0.95,42
Baca CountyCO,Baca County,CO,37.394731,-102.5298028,950,0.50,0.95,42
Bacon CountyGA,Bacon County,GA,31.5412085,-82.4319405,950,0.50,0.95,42
Bailey CountyTX,Bailey County,TX,34.0913057,-102.8975098,950,0.50,0.95,42
Baker CountyFL,Baker County,FL,30.3931168,-82.3017728,950,0.50,0.95,42
Baker CountyGA,Baker County,GA,31.2816037,-84.4802606,950,0.50,0.95,42
Baker CountyOR,Baker County,OR,44.7652304,-117.67692,950,0.50,0.95,42
Baldwin CountyAL,Baldwin County,AL,30.6010744,-87.7763333,950,0.50,0.95,42
Baldwin CountyGA,Baldwin County,GA,33.0338083,-83.2934086,950,0.50,0.95,42
Ballard CountyKY,Ballard County,KY,37.0359869,-89.0179332,950,0.50,0.95,42
Baltimore CityMD,Baltimore City,MD,39.2905023,-76.6104072,950,0.50,0.95,42
Baltimore CountyMD,Baltimore County,MD,39.4647665,-76.7336521,950,0.50,0.95,42
Bamberg CountySC,Bamberg County,SC,33.2074402,-81.0754657,950,0.50,0.95,42
Bandera CountyTX,Bandera County,TX,29.7404135,-99.2785583,950,0.50,0.95,42
Banks CountyGA,Banks County,GA,34.378542,-83.4643551,950,0.50,0.95,42
Banner CountyNE,Banner County,NE,41.500766,-103.6362715,950,0.50,0.95,42
Bannock CountyID,Bannock County,ID,42.5836362,-112.1430215,950,0.50,0.95,42
Baraga CountyMI,Baraga County,MI,46.7352761,-88.3010401,950,0.50,0.95,42
Barber CountyKS,Barber County,KS,37.2299788,-98.7481167,950,0.50,0.95,42
Barbour CountyAL,Barbour County,AL,31.8172896,-85.354965,950,0.50,0.95,42
Barbour CountyWV,Barbour County,WV,39.1398692,-80.0087746,950,0.50,0.95,42
Barceloneta MunicipioPR,Barceloneta Municipio,PR,18.4526402,-66.5396674,950,0.50,0.95,42
Barnes CountyND,Barnes County,ND,46.926176,-98.1222338,950,0.50,0.95,42
Barnstable CountyMA,Barnstable County,MA,41.8111143,-70.1455805,950,0.50,0.95,42
Barnwell CountySC,Barnwell County,SC,33.279925,-81.4718387,950,0.50,0.95,42
Barranquitas MunicipioPR,Barranquitas Municipio,PR,18.1865733,-66.3062327,950,0.50,0.95,42
Barren CountyKY,Barren County,KY,36.9676836,-85.8486236,950,0.50,0.95,42
Barron CountyWI,Barron County,WI,45.3607574,-91.776948,950,0.50,0.95,42
Barrow CountyGA,Barrow County,GA,34.0142667,-83.6986568,950,0.50,0.95,42
Barry CountyMI,Barry County,MI,42.5354321,-85.354965,950,0.50,0.95,42
Barry CountyMO,Barry County,MO,36.6345264,-93.8248241,950,0.50,0.95,42
Bartholomew CountyIN,Bartholomew County,IN,39.206801,-85.8895551,950,0.50,0.95,42
Barton CountyKS,Barton County,KS,38.5000699,-98.6600586,950,0.50,0.95,42
Barton CountyMO,Barton County,MO,37.4748791,-94.315422,950,0.50,0.95,42
Bartow CountyGA,Bartow County,GA,34.2660473,-84.8150781,950,0.50,0.95,42
Bastrop CountyTX,Bastrop County,TX,30.0458708,-97.3516558,950,0.50,0.95,42
Bates CountyMO,Bates County,MO,38.3216754,-94.315422,950,0.50,0.95,42
Bath CountyKY,Bath County,KY,38.1068164,-83.7199136,950,0.50,0.95,42
Bath CountyVA,Bath County,VA,38.111733,-79.6502105,950,0.50,0.95,42
Baxter CountyAR,Baxter County,AR,36.3261815,-92.3813621,950,0.50,0.95,42
Bay CountyFL,Bay County,FL,30.1805306,-85.684578,950,0.50,0.95,42
Bay CountyMI,Bay County,MI,43.7109732,-84.0167423,950,0.50,0.95,42
BayamÃ³nPR,BayamÃ³n,PR,18.383733,-66.1713106,950,0.50,0.95,42
Bayamón MunicipioPR,Bayamón Municipio,PR,18.383733,-66.1713106,950,0.50,0.95,42
Bayfield CountyWI,Bayfield County,WI,46.6650481,-91.1222007,950,0.50,0.95,42
Baylor CountyTX,Baylor County,TX,33.5373926,-99.2785583,950,0.50,0.95,42
Beadle CountySD,Beadle County,SD,44.4797351,-98.2212979,950,0.50,0.95,42
Bear Lake CountyID,Bear Lake County,ID,42.228222,-111.2845025,950,0.50,0.95,42
Beaufort CountyNC,Beaufort County,NC,35.4613504,-76.9182097,950,0.50,0.95,42
Beaufort CountySC,Beaufort County,SC,32.2860396,-80.7214417,950,0.50,0.95,42
Beauregard ParishLA,Beauregard Parish,LA,30.7611484,-93.3388917,950,0.50,0.95,42
Beaver CountyOK,Beaver County,OK,36.7440186,-100.5296115,950,0.50,0.95,42
Beaver CountyPA,Beaver County,PA,40.6367812,-80.365865,950,0.50,0.95,42
Beaver CountyUT,Beaver County,UT,38.3266376,-113.287085,950,0.50,0.95,42
Beaverhead CountyMT,Beaverhead County,MT,45.2135118,-113.1093046,950,0.50,0.95,42
Becker CountyMN,Becker County,MN,46.9164628,-95.7036557,950,0.50,0.95,42
Beckham CountyOK,Beckham County,OK,35.2687266,-99.634135,950,0.50,0.95,42
Bedford CountyPA,Bedford County,PA,39.986955,-78.5660852,950,0.50,0.95,42
Bedford CountyTN,Bedford County,TN,35.4702472,-86.4592091,950,0.50,0.95,42
Bedford CountyVA,Bedford County,VA,37.2538794,-79.4703885,950,0.50,0.95,42
Bee CountyTX,Bee County,TX,28.3624206,-97.6982272,950,0.50,0.95,42
Belknap CountyNH,Belknap County,NH,43.5024246,-71.4073938,950,0.50,0.95,42
Bell CountyKY,Bell County,KY,36.741122,-83.634843,950,0.50,0.95,42
Bell CountyTX,Bell County,TX,31.134411,-97.5247243,950,0.50,0.95,42
Belmont CountyOH,Belmont County,OH,40.0325848,-80.8986502,950,0.50,0.95,42
Beltrami CountyMN,Beltrami County,MN,48.1418531,-94.7390874,950,0.50,0.95,42
Ben Hill CountyGA,Ben Hill County,GA,31.7664035,-83.2077645,950,0.50,0.95,42
Benewah CountyID,Benewah County,ID,47.2437836,-116.6499425,950,0.50,0.95,42
Bennett CountySD,Bennett County,SD,43.1223577,-101.6157773,950,0.50,0.95,42
Bennington CountyVT,Bennington County,VT,43.0278745,-73.1349605,950,0.50,0.95,42
Benson CountyND,Benson County,ND,48.088634,-99.4648442,950,0.50,0.95,42
Bent CountyCO,Bent County,CO,38.0036339,-103.0817903,950,0.50,0.95,42
Benton CountyAR,Benton County,AR,36.2661518,-94.479976,950,0.50,0.95,42
Benton CountyIA,Benton County,IA,42.1387249,-92.0665197,950,0.50,0.95,42
Benton CountyIN,Benton County,IN,40.644786,-87.3413599,950,0.50,0.95,42
Benton CountyMN,Benton County,MN,45.7211058,-93.9732855,950,0.50,0.95,42
Benton CountyMO,Benton County,MO,38.3534598,-93.3388917,950,0.50,0.95,42
Benton CountyMS,Benton County,MS,34.7712669,-89.1705998,950,0.50,0.95,42
Benton CountyOR,Benton County,OR,44.6281686,-123.3873877,950,0.50,0.95,42
Benton CountyTN,Benton County,TN,36.1170244,-88.050979,950,0.50,0.95,42
Benton CountyWA,Benton County,WA,46.3166362,-119.5021582,950,0.50,0.95,42
Benzie CountyMI,Benzie County,MI,44.678277,-86.2970998,950,0.50,0.95,42
Bergen CountyNJ,Bergen County,NJ,40.9262762,-74.07701,950,0.50,0.95,42
Berkeley CountySC,Berkeley County,SC,33.1260618,-80.0087746,950,0.50,0.95,42
Berkeley CountyWV,Berkeley County,WV,39.4885604,-78.0651931,950,0.50,0.95,42
Berks CountyPA,Berks County,PA,40.3451566,-75.9927652,950,0.50,0.95,42
Berkshire CountyMA,Berkshire County,MA,42.311782,-73.1821623,950,0.50,0.95,42
Bernalillo CountyNM,Bernalillo County,NM,35.0177854,-106.6291304,950,0.50,0.95,42
Berrien CountyGA,Berrien County,GA,31.3118535,-83.2077645,950,0.50,0.95,42
Berrien CountyMI,Berrien County,MI,42.0320742,-86.7416374,950,0.50,0.95,42
Bertie CountyNC,Bertie County,NC,36.0245185,-76.964306,950,0.50,0.95,42
Bethel Census AreaAK,Bethel Census Area,AK,61.093446,-160.8640774,950,0.50,0.95,42
Bexar CountyTX,Bexar County,TX,29.4200763,-98.5721016,950,0.50,0.95,42
Bibb CountyAL,Bibb County,AL,32.9562798,-87.1422895,950,0.50,0.95,42
Bibb CountyGA,Bibb County,GA,32.7865735,-83.7199136,950,0.50,0.95,42
Bienville ParishLA,Bienville Parish,LA,32.4107403,-93.0175712,950,0.50,0.95,42
Big Horn CountyMT,Big Horn County,MT,45.3496574,-107.2715769,950,0.50,0.95,42
Big Horn CountyWY,Big Horn County,WY,44.6036387,-108.0941121,950,0.50,0.95,42
Big Stone CountyMN,Big Stone County,MN,45.4932045,-96.4724,950,0.50,0.95,42
Billings CountyND,Billings County,ND,47.0560305,-103.3906121,950,0.50,0.95,42
Bingham CountyID,Bingham County,ID,43.2112303,-112.3624146,950,0.50,0.95,42
Black Hawk CountyIA,Black Hawk County,IA,42.447804,-92.3813621,950,0.50,0.95,42
Blackford CountyIN,Blackford County,IN,40.4992784,-85.3136218,950,0.50,0.95,42
Bladen CountyNC,Bladen County,NC,34.5882404,-78.5660852,950,0.50,0.95,42
Blaine CountyID,Blaine County,ID,43.4743428,-113.9664446,950,0.50,0.95,42
Blaine CountyMT,Blaine County,MT,48.6065395,-108.9462246,950,0.50,0.95,42
Blaine CountyNE,Blaine County,NE,41.8795565,-99.9912254,950,0.50,0.95,42
Blaine CountyOK,Blaine County,OK,35.8825489,-98.3964938,950,0.50,0.95,42
Blair CountyPA,Blair County,PA,40.4531318,-78.3842227,950,0.50,0.95,42
Blanco CountyTX,Blanco County,TX,30.3500511,-98.3964938,950,0.50,0.95,42
Bland CountyVA,Bland County,VA,37.0924986,-81.1196075,950,0.50,0.95,42
Bleckley CountyGA,Bleckley County,GA,32.4087854,-83.3789389,950,0.50,0.95,42
Bledsoe CountyTN,Bledsoe County,TN,35.6028856,-85.2308414,950,0.50,0.95,42
Blount CountyAL,Blount County,AL,34.0145152,-86.4996546,950,0.50,0.95,42
Blount CountyTN,Blount County,TN,35.6710541,-83.8473015,950,0.50,0.95,42
Blue Earth CountyMN,Blue Earth County,MN,43.9505132,-93.9878427,950,0.50,0.95,42
Boise CountyID,Boise County,ID,43.9604787,-115.8563106,950,0.50,0.95,42
Bolivar CountyMS,Bolivar County,MS,33.8829962,-90.8294002,950,0.50,0.95,42
Bollinger CountyMO,Bollinger County,MO,37.2115595,-90.0746767,950,0.50,0.95,42
Bon Homme CountySD,Bon Homme County,SD,42.9814835,-97.87216,950,0.50,0.95,42
Bond CountyIL,Bond County,IL,38.902985,-89.4742177,950,0.50,0.95,42
Bonner CountyID,Bonner County,ID,48.2751783,-116.5931483,950,0.50,0.95,42
Bonneville CountyID,Bonneville County,ID,43.4508683,-111.5455289,950,0.50,0.95,42
Boone CountyAR,Boone County,AR,36.3118662,-93.0175712,950,0.50,0.95,42
Boone CountyIA,Boone County,IA,42.0881747,-93.9878427,950,0.50,0.95,42
Boone CountyIL,Boone County,IL,42.3484976,-88.8263006,950,0.50,0.95,42
Boone CountyIN,Boone County,IN,40.0106163,-86.4996546,950,0.50,0.95,42
Boone CountyKY,Boone County,KY,38.9940572,-84.7315563,950,0.50,0.95,42
Boone CountyMO,Boone County,MO,39.0468547,-92.3813621,950,0.50,0.95,42
Boone CountyNE,Boone County,NE,41.7172326,-98.0465185,950,0.50,0.95,42
Boone CountyWV,Boone County,WV,37.9838605,-81.734942,950,0.50,0.95,42
Borden CountyTX,Borden County,TX,32.8233108,-101.4339148,950,0.50,0.95,42
Bosque CountyTX,Bosque County,TX,31.8507607,-97.6982272,950,0.50,0.95,42
Bossier ParishLA,Bossier Parish,LA,32.7551322,-93.6623239,950,0.50,0.95,42
Botetourt CountyVA,Botetourt County,VA,37.5774613,-79.7848422,950,0.50,0.95,42
Bottineau CountyND,Bottineau County,ND,48.7820733,-100.7486336,950,0.50,0.95,42
Boulder CountyCO,Boulder County,CO,40.1512114,-105.5005483,950,0.50,0.95,42
Boundary CountyID,Boundary County,ID,48.7987617,-116.5627065,950,0.50,0.95,42
Bourbon CountyKS,Bourbon County,KS,37.7957092,-94.8105955,950,0.50,0.95,42
Bourbon CountyKY,Bourbon County,KY,38.2170752,-84.2278796,950,0.50,0.95,42
Bowie CountyTX,Bowie County,TX,33.4473287,-94.479976,950,0.50,0.95,42
Bowman CountyND,Bowman County,ND,46.0945462,-103.556038,950,0.50,0.95,42
Box Butte CountyNE,Box Butte County,NE,42.1911471,-103.0817903,950,0.50,0.95,42
Box Elder CountyUT,Box Elder County,UT,41.5380087,-113.1918021,950,0.50,0.95,42
Boyd CountyKY,Boyd County,KY,38.3833265,-82.6915429,950,0.50,0.95,42
Boyd CountyNE,Boyd County,NE,42.8823716,-98.704075,950,0.50,0.95,42
Boyle CountyKY,Boyle County,KY,37.6526034,-84.8150781,950,0.50,0.95,42
Bracken CountyKY,Bracken County,KY,38.7117016,-84.059029,950,0.50,0.95,42
Bradford CountyFL,Bradford County,FL,29.9723818,-82.1713632,950,0.50,0.95,42
Bradford CountyPA,Bradford County,PA,41.8362502,-76.5488232,950,0.50,0.95,42
Bradley CountyAR,Bradley County,AR,33.5081368,-92.2236667,950,0.50,0.95,42
Bradley CountyTN,Bradley County,TN,35.1937778,-84.8567932,950,0.50,0.95,42
Branch CountyMI,Branch County,MI,41.8913835,-85.023346,950,0.50,0.95,42
Brantley CountyGA,Brantley County,GA,31.1510963,-81.9971108,950,0.50,0.95,42
Braxton CountyWV,Braxton County,WV,38.7023371,-80.7214417,950,0.50,0.95,42
Brazoria CountyTX,Brazoria County,TX,29.2131857,-95.4777811,950,0.50,0.95,42
Brazos CountyTX,Brazos County,TX,30.6504141,-96.3226072,950,0.50,0.95,42
Breathitt CountyKY,Breathitt County,KY,37.5359616,-83.336188,950,0.50,0.95,42
Breckinridge CountyKY,Breckinridge County,KY,37.7982002,-86.4592091,950,0.50,0.95,42
Bremer CountyIA,Bremer County,IA,42.761082,-92.3813621,950,0.50,0.95,42
Brevard CountyFL,Brevard County,FL,28.263933,-80.7214417,950,0.50,0.95,42
Brewster CountyTX,Brewster County,TX,29.6629938,-103.3587288,950,0.50,0.95,42
Briscoe CountyTX,Briscoe County,TX,34.526178,-101.1617356,950,0.50,0.95,42
Bristol Bay BoroughAK,Bristol Bay Borough,AK,58.7578504,-156.7792687,950,0.50,0.95,42
Bristol cityVA,Bristol city,VA,36.6159085,-82.1659243,950,0.50,0.95,42
Bristol CountyMA,Bristol County,MA,41.7938406,-71.1448516,950,0.50,0.95,42
Bristol CountyRI,Bristol County,RI,41.7257893,-71.3111773,950,0.50,0.95,42
Broadwater CountyMT,Broadwater County,MT,46.2693726,-111.4519716,950,0.50,0.95,42
Bronx CountyNY,Bronx County,NY,40.8447819,-73.8648268,950,0.50,0.95,42
Brooke CountyWV,Brooke County,WV,40.2697757,-80.5660657,950,0.50,0.95,42
Brookings CountySD,Brookings County,SD,44.4211592,-96.8350999,950,0.50,0.95,42
Brooks CountyGA,Brooks County,GA,30.8730159,-83.5496566,950,0.50,0.95,42
Brooks CountyTX,Brooks County,TX,27.0273057,-98.2212979,950,0.50,0.95,42
Broome CountyNY,Broome County,NY,42.1791865,-75.8533954,950,0.50,0.95,42
Broomfield CountyCO,Broomfield County,CO,39.9205411,-105.0866504,950,0.50,0.95,42
Broward CountyFL,Broward County,FL,26.190096,-80.365865,950,0.50,0.95,42
Brown CountyIL,Brown County,IL,39.9379573,-90.7152749,950,0.50,0.95,42
Brown CountyIN,Brown County,IN,39.1749729,-86.1751759,950,0.50,0.95,42
Brown CountyKS,Brown County,KS,39.770047,-95.4777811,950,0.50,0.95,42
Brown CountyMN,Brown County,MN,44.2294379,-94.645035,950,0.50,0.95,42
Brown CountyNE,Brown County,NE,42.5052914,-99.9912254,950,0.50,0.95,42
Brown CountyOH,Brown County,OH,38.9092089,-83.8473015,950,0.50,0.95,42
Brown CountySD,Brown County,SD,45.7581522,-98.2542652,950,0.50,0.95,42
Brown CountyTX,Brown County,TX,31.7705105,-98.9245343,950,0.50,0.95,42
Brown CountyWI,Brown County,WI,44.4561674,-87.9334803,950,0.50,0.95,42
Brule CountySD,Brule County,SD,43.6572515,-99.1013498,950,0.50,0.95,42
Brunswick CountyNC,Brunswick County,NC,34.0275398,-78.2020387,950,0.50,0.95,42
Brunswick CountyVA,Brunswick County,VA,36.7570589,-77.8367282,950,0.50,0.95,42
Bryan CountyGA,Bryan County,GA,32.0236584,-81.4718387,950,0.50,0.95,42
Bryan CountyOK,Bryan County,OK,33.902127,-96.3226072,950,0.50,0.95,42
Buchanan CountyIA,Buchanan County,IA,42.4566006,-91.9099238,950,0.50,0.95,42
Buchanan CountyMO,Buchanan County,MO,39.6349791,-94.8105955,950,0.50,0.95,42
Buchanan CountyVA,Buchanan County,VA,37.2403134,-81.9971108,950,0.50,0.95,42
Buckingham CountyVA,Buckingham County,VA,37.507008,-78.5660852,950,0.50,0.95,42
Bucks CountyPA,Bucks County,PA,40.4107964,-75.2479061,950,0.50,0.95,42
